n, Random, Sorted, Reverse Sorted, Partially Sorted
10,0.015448857142857143,0.0019739285714285714,0.0039735,0.0030878571428571426,
20,0.005463571428571429,0.002356571428571429,0.017868142857142857,0.006771642857142857,
40,0.01708542857142857,0.0017946428571428573,0.07590978571428572,0.004672214285714286,
80,0.03277114285714285,0.0039495,0.08115092857142857,0.019795785714285717,
160,0.07676871428571429,0.003671571428571429,0.18538907142857144,0.03330564285714286,
320,0.31614078571428567,0.0039525,0.28632614285714286,0.04758385714285714,
640,0.3811670714285714,0.004704142857142857,0.8581832857142857,0.3111497857142857,
1280,1.504971642857143,0.007723571428571429,2.863168642857143,0.7794228571428572,
2560,6.228537,0.013355071428571428,11.915797999999999,2.970112,
5120,22.571780714285715,0.025591142857142857,44.99579635714286,11.282641285714286,
10240,89.13674028571428,0.05520478571428571,179.82785199999998,46.44845192857143,
